ID	Word 	Lemma	Pos	Extra	Features	Headposition	Relation		EverythingElse
21	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#1933.119#1933.428
22	думает	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1933.428#1933.737
23	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1933.737#1934.046
24	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1934.046#1934.355
25	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1934.355#1934.664
26	эти	этот	DET	_	Case=Acc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1934.664#1934.973
27	вещи	вещь	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1934.973#1935.282
28	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#1935.282#1935.591
29	заходят	заходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1935.591#1935.9
30	доходят	доходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1935.9#1936.209
31	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1936.209#1936.518
32	доходят	доходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1936.518#1936.827
33	или	или	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1936.827#1937.136
34	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1937.136#1937.445
35	или	или	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1937.445#1937.754
36	просто	просто	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1937.754#1938.063
37	поржать	поржать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1938.063#1938.372
38	народ	народ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1938.372#1938.681
39	собирается	собираться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#1938.681#1939.0
40	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1949.123#1949.315
41	что	что	PRON	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#1949.315#1949.507
42	же	же	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1949.507#1949.699
43	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1949.699#1949.891
44	удавалось	удаваться	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#1949.891#1950.083
45	никак	никак	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1950.083#1950.275
46	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1950.275#1950.467
47	залом	зал	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1950.467#1950.659
48	пообщаться	пообщаться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#1950.659#1950.851
49	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1950.851#1951.043
50	понять	понять	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1951.043#1951.235
51	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1951.235#1951.429
52	кто	кто	PRON	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#1951.748#1952.073
53	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1952.073#1952.398
54	кто	кто	PRON	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#1952.398#1952.723
55	эти	этот	DET	_	Case=Nom|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1952.723#1953.048
56	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1953.048#1953.373
57	которые	который	PRON	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#1953.373#1953.698
58	[нрзб]	[нрзб]		_	_	_	_	_	@kvs1980m-words#@kvs1980m#1953.698#1954.025
59	[смеются]	[смеются]		_	_	_	_	_	@kvs1980m-words#@kvs1980m#1979.636#1980.57
60	ну	ну	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1988.039#1988.304
61	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1988.304#1988.569
62	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1988.569#1988.834
63	бы	бы	AUX	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1988.834#1989.099
64	интересно	интересный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@kvs1980m-words#@kvs1980m#1989.099#1989.365
65	нет	нет	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1990.161#1990.41
66	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1990.41#1990.659
67	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1990.659#1990.908
68	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1990.908#1991.157
69	честно	честно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1991.157#1991.406
70	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1991.406#1991.655
71	интересно	интересный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@kvs1980m-words#@kvs1980m#1991.655#1991.904
72	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1991.904#1992.153
73	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1992.153#1992.402
74	что	что	PRON	_	Case=Acc	_	_	_	@kvs1980m-words#@kvs1980m#1992.402#1992.651
75	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#1992.651#1992.9
76	говоришь	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1992.9#1993.149
77	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1993.149#1993.398
78	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1993.398#1993.647
79	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1993.647#1993.896
80	видел	видеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1993.896#1994.145
81	этих	этот	DET	_	Case=Acc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1994.145#1994.394
82	блогеров	блоггер	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1994.394#1994.648
83	этих	этот	DET	_	Case=Gen|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1995.794#1996.143
84	этих	этот	DET	_	Case=Gen|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1996.143#1996.492
85	ваших	ваш	DET	_	Case=Gen|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1996.492#1996.841
86	блогеров	блоггер	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#1996.841#1997.19
87	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1997.19#1997.539
88	видел	видеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1997.539#1997.889
89	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1998.453#1998.719
90	старый	старый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1998.719#1998.985
91	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1998.985#1999.251
92	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#1999.251#1999.517
93	пришел	прийти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1999.517#1999.783
94	для	для	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1999.783#2000.049
95	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2000.049#2000.315
96	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@kvs1980m-words#@kvs1980m#2000.315#2000.581
97	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2000.581#2000.847
98	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2000.847#2001.113
99	что	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2001.113#2001.379
100	ребята	ребята	NOUN	_	Animacy=Anim|Case=Nom|Gender=Neut|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2001.379#2001.645
101	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#2001.645#2001.911
102	существуете	существовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2001.911#2002.177
103	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2002.177#2002.443
104	другой	другой	ADJ	_	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2002.443#2002.709
105	реальности	реальность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2002.709#2002.975
106	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2002.975#2003.241
107	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2003.241#2003.507
108	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#2003.507#2003.773
109	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2003.773#2004.039
110	Стерлитамака	Стерлитамак	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2004.039#2004.305
111	если	если	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2004.305#2004.571
112	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2004.571#2004.837
113	ошибаюсь	ошибиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2004.837#2005.103
114	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2005.103#2005.369
115	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2005.369#2005.635
116	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2005.635#2005.901
117	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2005.901#2006.167
118	Башкортостана	Башкортостан	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2006.167#2006.433
119	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2006.433#2006.699
120	Башкирии	Башкирия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2006.699#2006.965
121	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#2006.965#2007.231
122	так	так	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2007.231#2007.497
123	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2007.497#2007.763
124	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2007.763#2008.029
125	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2008.029#2008.295
126	так	так	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2008.295#2008.561
127	давно	давно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2008.561#2008.827
128	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2008.827#2009.093
129	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2009.093#2009.359
130	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2009.359#2009.625
131	Уфе	Уфа	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2009.625#2009.891
132	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2009.891#2010.157
133	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2010.157#2010.423
134	разговаривал	разговаривать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2010.423#2010.689
135	там	там	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2010.689#2010.955
136	на	на	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2010.955#2011.221
137	большом	большой	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2011.221#2011.487
138	форуме	форум	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2011.487#2011.753
139	о	о	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2011.753#2012.019
140	бедности	бедность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2012.019#2012.285
141	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2012.285#2012.551
142	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2012.551#2012.817
143	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2012.817#2013.083
144	народом	народ	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2013.083#2013.349
145	общался	общаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2013.349#2013.615
146	по	по	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2013.615#2013.881
147	поводу	повод	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2013.881#2014.147
148	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2014.147#2014.413
149	что	что	PRON	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#2014.413#2014.679
150	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2014.679#2014.945
151	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2014.945#2015.211
152	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2015.211#2015.477
153	промышленности	промышленность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2015.477#2015.743
154	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2015.743#2016.009
155	сельском	сельский	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2016.009#2016.275
156	хозяйстве	хозяйство	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2016.275#2016.541
157	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2016.541#2016.807
158	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2016.807#2017.073
159	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2017.073#2017.339
160	только	только	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2017.339#2017.605
161	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2017.605#2017.871
162	Башкирии	Башкирия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2017.871#2018.137
163	а	а	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2018.137#2018.403
164	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2018.403#2018.669
165	в целом	в целом 	ADV	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2018.669#2018.935
166	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2019.201#2019.467
167	стране	страна	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2019.467#2019.733
168	ситуация	ситуация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2019.733#2019.999
169	у	у	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2019.999#2020.265
170	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2020.265#2020.531
171	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2020.531#2020.797
172	мягко	мягко	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2020.797#2021.063
173	говоря	говорить	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2021.063#2021.329
174	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2021.329#2021.595
175	очень	очень	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2021.595#2021.861
176	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2021.861#2022.127
177	веселая	веселый	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2022.127#2022.393
178	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2022.393#2022.659
179	очень	очень	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2022.659#2022.925
180	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2022.925#2023.191
181	много	много	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2023.191#2023.457
182	поводов	повод	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2023.457#2023.723
183	для	для	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2023.723#2023.989
184	радости	радость	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2023.989#2024.255
185	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2024.255#2024.521
186	за	за	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2024.521#2024.787
187	последние	последний	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2024.787#2025.053
188	полгода	полгода	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2025.053#2025.319
189	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2025.319#2025.585
190	посмотрел	смотреть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2025.585#2025.851
191	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2025.851#2026.117
192	Башкирии	Башкирия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2026.117#2026.383
193	уехало	уехать	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2026.383#2026.649
194	пятьдесят	пятьдесят	NUM	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#2026.649#2026.915
195	четыре	четыре	NUM	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#2026.915#2027.181
196	тысячи	тысяча	NUM	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2027.181#2027.447
197	человек	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2027.447#2027.771
198	да	да	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2032.665#2032.98
199	и	и	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2032.98#2033.295
200	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2033.295#2033.61
201	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2033.61#2033.925
202	этом	этот	DET	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2033.925#2034.24
203	смысле	смысл	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2034.24#2034.555
204	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2034.555#2034.87
205	хотел	хотеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2034.87#2035.185
206	бы	бы	AUX	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2035.185#2035.5
207	подчеркнуть	подчеркнуть	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2035.5#2035.815
208	что	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2035.815#2036.13
209	девяностые	девяностый	NUM	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2036.13#2036.445
210	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2036.445#2036.76
