ID;Word ;Lemma;Pos;Extra;Features;Headposition;Relation;;EverythingElse
47;попросили;просить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#48.393#48.66
48;заранее;заранее;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#48.66#48.927
49;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#48.927#49.2
50;самый;самый;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#51.82#52.08
51;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#52.08#52.34
52;самый;самый;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#52.34#52.6
53;популярный;популярный;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#52.6#52.86
54;ответ;ответ;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#52.86#53.12
55;в;в;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#53.12#53.38
56;нашей;наш;DET;_;Case=Loc|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#53.38#53.64
57;стране;страна;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#53.64#53.9
58;кто-то;кто-то;PRON;_;Case=Nom;_;_;_;@dp1979m-words#@dp1979m#56.7#57.15
59;другой;другой;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#57.15#57.6
60;а;а;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#67.853#68.051
61;что;что;PRON;_;Case=Nom;_;_;_;@dp1979m-words#@dp1979m#68.051#68.249
62;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#68.249#68.447
63;за;за;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#68.447#68.645
64;темы;тема;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#68.645#68.843
65;-;-;PUNCT;;;;;;@dp1979m-words#@dp1979m#68.645#68.843
66;то;то;PART;;;;;;@dp1979m-words#@dp1979m#68.645#68.843
67;такие;такой;DET;_;Case=Nom|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#68.843#69.041
68;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#69.041#69.24
69;а;а;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#82.82#83.041
70;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#83.041#83.262
71;подожди;ждать;VERB;_;Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#83.262#83.483
72;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#83.483#83.704
73;но;но;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#83.704#83.925
74;а;а;PART;_;;_;_;_;@dp1979m-words#@dp1979m#83.925#84.146
75;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#84.146#84.367
76;эм;эм;INTJ;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#84.367#84.588
77;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#84.588#84.809
78;если;если;SCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#84.809#85.03
79;бы;бы;AUX;_;_;_;_;_;@dp1979m-words#@dp1979m#85.03#85.251
80;пришел;прийти;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#85.251#85.472
81;Арсений;Арсений;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#85.472#85.7
82;вообще;вообще;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#85.702#85.888
83;какие;какой;DET;_;Case=Acc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#85.888#86.074
84;вопросы;вопрос;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#86.074#86.26
85;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#86.26#86.446
86;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#86.446#86.632
87;Чего;что;PRON;_;Case=Gen;_;_;_;@dp1979m-words#@dp1979m#86.632#86.818
88;нельзя;нельзя;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#86.818#87.004
89;то;то;PRON;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#87.004#87.19
90;спрашивать;спрашивать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#87.19#87.376
91;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#87.376#87.57
92;сами;сам;PRON;_;Case=Nom|Degree=Pos|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#87.59#87.852
93;себе;себя;PRON;_;Case=Dat;_;_;_;@dp1979m-words#@dp1979m#87.852#88.114
94;такие;такой;DET;_;Case=Acc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#88.114#88.376
95;какие-то;какой-то;DET;_;Case=Acc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#88.376#88.638
96;рамки;рамка;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#88.638#88.9
97;ставите;ставить;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#88.9#89.162
98;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#89.162#89.43
99;абсолютно;абсолютно;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#90.55#90.825
100;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#90.825#91.1
101;Получается;получаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@dp1979m-words#@dp1979m#105.97#106.425
102;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#106.425#106.88
103;бывает;бывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#110.43#110.694
104;ли;ли;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#110.694#110.958
105;такое;такой;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#110.958#111.222
106;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#111.222#111.486
107;что;что;SCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#111.486#111.75
108;импровизация;импровизация;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#111.75#112.014
109;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#112.014#112.278
110;ну;ну;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#112.278#112.542
111;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#112.542#112.806
112;вот;вот;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#112.806#113.07
113;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#113.07#113.334
114;ну;ну;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#113.334#113.598
115;не;не;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#113.598#113.862
116;поперло;попереть;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#113.862#114.126
117;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#114.126#114.39
118;как;как;SCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#126.08#126.365
119;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#126.365#126.65
120;происходит;происходить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#126.65#126.935
121;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#126.935#127.22
122;за;за;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#157.45#157.697
123;всё;все;PRON;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#157.697#157.944
124;время;время;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#157.944#158.191
125;существования;существование;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#158.191#158.438
126;проекта;проект;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#158.438#158.685
127;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#158.932#159.18
128;Последний;последний;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#183.01#183.289
129;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#183.289#183.568
130;вот;вот;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#183.568#183.847
131;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#183.847#184.126
132;какой-то;какой-то;DET;_;Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#184.126#184.405
133;эпичный;эпичный;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#184.405#184.684
134;такой;такой;DET;_;Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#184.684#184.963
135;случай;случай;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#184.963#185.242
136;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#185.242#185.521
137;когда;когда;SCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#185.521#185.8
138;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#185.8#186.079
139;не;не;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#186.079#186.358
140;пошло;пойти;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#186.358#186.637
141;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#186.637#186.92
142;а;а;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#221.0#221.312
143;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#221.312#221.624
144;хорошо;хорошо;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#221.624#221.936
145;не;не;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#221.936#222.248
146;увольнение;увольнение;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#222.248#222.56
147;а;а;CCONJ;_;;_;_;_;@dp1979m-words#@dp1979m#222.56#222.872
148;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#222.872#223.184
149;любимое;любимый;ADJ;_;Case=Nom|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#223.496#223.808
150;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#223.808#224.12
151;про;про;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#224.12#224.432
152;деньги;деньги;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#224.432#224.744
153;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#224.744#225.056
154;про;про;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#225.056#225.368
155;гонорары;гонорар;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#225.368#225.68
156;всё-таки;всё-таки;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#225.68#225.992
157;заговорили;говорить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#225.992#226.304
158;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#226.304#226.616
159;привязано;привязать;VERB;_;Aspect=Perf|Gender=Neut|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;_;_;_;@dp1979m-words#@dp1979m#226.616#226.928
160;ли;ли;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#226.928#227.24
161;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#227.24#227.552
162;как-то;как-то;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#227.552#227.864
163;к;к;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#227.864#228.176
164;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#228.176#228.488
165;к;к;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#228.488#228.8
166;качеству;качество;NOUN;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#228.8#229.112
167;импровизации;импровизация;NOUN;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#229.112#229.424
168;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#229.424#229.74
169;сегодня;сегодня;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#229.91#230.291
170;шутили;шутить;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#230.291#230.672
171;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#230.672#231.053
172;хорошо;хорошо;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#231.053#231.434
173;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#231.434#231.815
174;держите;держать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#231.815#232.2
175;сто;сто;NUM;_;Case=Nom;_;_;_;@dp1979m-words#@dp1979m#254.13#254.363
176;тысяч;тысяча;NUM;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#254.363#254.596
177;реальная;реальный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#254.596#254.829
178;цифра;цифра;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#254.829#255.062
179;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#255.062#255.295
180;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#255.295#255.528
181;щас;щас;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#255.528#255.761
182;озвучили;озвучить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#255.761#255.994
183;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#255.994#256.23
184;а;а;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#260.44#260.685
185;невымышленная;невымышленный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#260.93#261.175
186;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#261.175#261.42
187;намного;намного;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#261.42#261.665
188;больше;больше;ADV;_;Degree=Cmp;_;_;_;@dp1979m-words#@dp1979m#261.665#261.91
189;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#261.91#262.16
190;ну;ну;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#264.66#265.035
191;ладно;ладно;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#265.035#265.41
192;может;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#271.85#272.078
193;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@dp1979m-words#@dp1979m#272.078#272.306
194;говорю;говорить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#272.306#272.534
195;в;в;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#272.534#272.762
196;год;год;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#272.762#272.99
197;много;много;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#289.09#289.498
198;лет;год;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#289.498#289.906
199;уже;уже;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#289.906#290.314
200;занимаетесь;заниматься;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@dp1979m-words#@dp1979m#290.314#290.722
201;импровизацией;импровизация;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#290.722#291.13
202;поэтому;поэтому;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#291.44#291.728
203;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#291.728#292.016
204;в;в;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#292.016#292.304
205;том;тот;DET;_;Case=Loc|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#292.304#292.592
206;числе;число;NOUN;_;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#292.592#292.88
207;брака;брак;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#292.88#293.168
208;минимум;минимум;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#293.168#293.456
209;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#293.456#293.75
210;много;много;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#294.28#294.581
211;лет;год;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#294.581#294.882
212;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#294.882#295.183
213;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#295.183#295.484
214;сколько;сколько;NUM;_;_;_;_;_;@dp1979m-words#@dp1979m#295.484#295.785
215;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#295.785#296.086
216;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#296.086#296.387
217;и;и;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#296.387#296.688
218;вообще;вообще;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#296.688#296.989
219;откуда;откуда;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#296.989#297.29
220;формат;формат;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#297.29#297.591
221;появился;появиться;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@dp1979m-words#@dp1979m#297.591#297.892
222;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#297.892#298.193
223;в;в;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#298.193#298.494
224;какой-то;какой-то;DET;_;Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#298.494#298.795
225;момент;момент;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#298.795#299.096
226;пере-п-перестали;пере-п-перестать;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#299.096#299.397
227;хотеть;хотеть;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#299.397#299.698
228;учить;учить;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#299.698#299.999
